system_type,product_index,brand,series,capacity,capacity_num_kw,size_kw,phase,model,unit_price_inc_gst,price_inc_gst,rebate,net_unit_cost_inc_gst_minus_rebate
Ducted,19,Fujitsu,,10.0kW,10,10,Three,AOTH36KRTA/ARTH36KHTA,3300.00,3300.00,1132.06,2167.94
Ducted,20,Fujitsu,,12.5kW,12.5,12.5,Single,AOTH45KBTA/ARTH45KHTA,3700.00,3700.00,1396.22,2303.78
Ducted,21,Fujitsu,,12.5kW,12.5,12.5,Three,AOTH45KRTA/ARTH45KHTA,4120.00,4120.00,1077.60,3042.40
Ducted,22,Fujitsu,,14.0kW,14,14,Single,AOTH54KBTA/ARTH54KHTA,4200.00,4200.00,1167.22,3032.78
Ducted,23,Fujitsu,,15.5kW,15.5,15.5,Single,AOTH60KBTA/ARTH60KHTA,4600.00,4600.00,1580.08,3019.92
Ducted,24,Fujitsu,,15.5kW,15.5,15.5,Three,AOTH60KRTA/ARTH60KHTA,4760.00,4760.00,1580.08,3179.92
Ducted,25,Hitachi,,7.2kW,7.2,7.2,Single,PAS-3.0UFASNQ1 / PPIH-3.0UFA1NQ,2310.00,2310.00,1191.24,1118.76
Ducted,26,Hitachi,,10.0kW,10,10,Single,PAS-4.0UFASNQ1 / PPIH-4.0UFA1NQ,2825.90,2825.90,1505.68,1320.22
Ducted,27,Hitachi,,12.5kW,12.5,12.5,Single,PAS-5.0UFASNQ1 / PPIH-5.0UFA1NQ,3286.80,3286.80,2229.24,1057.56
Ducted,28,Hitachi,,14.0kW,14,14,Single,PAS-6.0UFASNQ1 / PPIH-6.0UFA1NQ,3668.50,3668.50,1818.52,1849.98
Ducted,29,Hitachi,,16.0kW,16,16,Single,PAS-6.5UFASNQ1 / PPIH-6.5UFA1NQ,4040.30,4040.30,1856.16,2184.14
Ducted,30,Hitachi,,10.0kW,10,10,Three,PAS-4.0UFASMQ1 / PPIH-4.0UFA1NQ,3183.40,3183.40,1243.72,1939.68
Ducted,31,Hitachi,,12.5kW,12.5,12.5,Three,PAS-5.0UFASMQ1 / PPIH-5.0UFA1NQ,3600.30,3600.30,2203.32,1396.98
Ducted,32,Hitachi,,14.0kW,14,14,Three,PAS-6.0UFASMQ1 / PPIH-6.0UFA1NQ,3918.20,3918.20,2307.10,1611.10
Ducted,33,Hitachi,,16.0kW,16,16,Three,PAS-6.5UFASMQ1 / PPIH-6.5UFA1NQ,4159.10,4159.10,1856.16,2302.94
Ducted,34,Rinnai,,9.0kW,9,9,Single,DONSR09B1/DINLR09B1,2193.15,2193.15,945.00,1248.15
Ducted,35,Rinnai,,11.0kW,11,11,Single,DONSR11B1LA/DINLR11B1A,2405.35,2405.35,1044.00,1361.35
Ducted,36,Rinnai,,13.0kW,13,13,Single,DONSR13B1LA/DINLR13B1A,2817.03,2817.03,1247.00,1570.03
Ducted,37,Rinnai,,15.0kW,15,15,Single,DONSR15B1TA/DINLR15B1SA,2968.81,2968.81,1393.00,1575.81
Ducted,38,Rinnai,,18.0kW,18,18,Single,DONSR18B1/DINLR18B1,3453.52,3453.52,1464.00,1989.52
